Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Tripureshwor,Spring,Tap water,Treated,25.10,1.10,0.17,7.20,223.00,198.00,0.50,0.29,21.89
Tripureshwor,Spring,Tap water,Treated,26.10,1.20,0.19,8.30,182.00,208.00,0.30,2.61,25.13
Tripureshwor,Spring,Tap water,Treated,26.70,2.10,1.13,7.50,254.00,122.00,0.10,0.82,156.20
Tripureshwor,Spring,Tap water,Treated,27.10,1.70,1.33,7.40,184.00,228.00,0.30,1.31,28.64
Tripureshwor,Spring,Tap water,Treated,28.20,1.80,2.15,7.60,103.00,337.00,0.80,0.89,88.29
Tripureshwor,Spring,Tap water,Treated,29.20,3.50,2.23,7.10,96.00,381.00,0.20,0.68,38.31
Tripureshwor,Spring,Tap water,Treated,27.10,4.10,0.92,8.10,86.00,282.00,0.30,0.71,68.93
Tripureshwor,Spring,Tap water,Treated,29.10,2.20,1.71,8.20,166.00,233.00,0.20,0.36,96.11
Tripureshwor,Spring,Tap water,Treated,28.90,2.30,2.12,7.70,124.00,177.00,0.20,0.46,97.76
Tripureshwor,Spring,Tap water,Treated,27.90,2.40,2.12,6.90,187.00,186.00,0.30,1.56,81.56
Tripureshwor,Spring,Tap water,Treated,25.70,2.50,1.91,6.80,108.00,187.00,0.10,2.31,27.96
Tripureshwor,Spring,Tap water,Treated,28.20,3.20,2.21,7.50,179.00,291.00,0.30,0.61,27.13
Tripureshwor,Spring,Tap water,Treated,26.20,4.20,1.62,7.50,158.00,166.00,0.20,0.57,78.94
Tripureshwor,Spring,Tap water,Treated,28.90,1.20,2.14,7.40,115.00,156.00,0.20,0.46,55.21
Tripureshwor,Spring,Tap water,Treated,26.90,1.40,1.55,7.70,191.00,136.00,0.20,3.20,86.91
Baneshwor,Spring,Tap water,Treated,25.40,1.50,0.76,7.10,108.00,122.00,0.30,0.13,26.81
Baneshwor,Spring,Tap water,Treated,27.90,2.20,0.33,7.60,201.00,211.00,0.30,1.17,25.98
Baneshwor,Spring,Tap water,Treated,28.90,1.60,1.12,7.30,201.00,183.00,0.20,0.46,26.83
Baneshwor,Spring,Tap water,Treated,27.90,1.80,2.19,7.50,101.00,217.00,0.30,0.39,80.94
Baneshwor,Spring,Tap water,Treated,29.10,2.10,1.65,7.50,168.00,172.00,0.20,0.48,85.66
Baneshwor,Spring,Tap water,Treated,28.40,1.10,4.12,7.80,188.00,243.00,0.20,2.15,66.70
Baneshwor,Spring,Tap water,Treated,28.60,1.10,3.22,7.50,242.00,423.00,0.20,0.36,28.64
Baneshwor,Spring,Tap water,Treated,29.50,2.10,1.11,7.50,109.00,238.00,0.10,0.48,24.89
Baneshwor,Spring,Tap water,Treated,26.90,3.10,2.11,7.50,113.00,188.00,0.20,0.38,37.19
Baneshwor,Spring,Tap water,Treated,26.80,1.10,0.18,7.50,102.00,172.00,0.30,0.50,39.24
Baneshwor,Spring,Tap water,Treated,28.30,2.90,0.29,7.80,105.00,185.00,0.40,1.34,28.48
Baneshwor,Spring,Tap water,Treated,28.90,4.30,2.01,6.20,171.00,312.00,0.10,2.20,89.72
Baneshwor,Spring,Tap water,Treated,27.60,2.20,3.33,7.60,106.00,234.00,0.60,2.11,81.92
Baneshwor,Spring,Tap water,Treated,26.80,7.10,5.20,6.80,191.00,322.00,0.30,0.12,87.62
Baneshwor,Spring,Tap water,Treated,29.10,2.80,1.90,6.70,118.00,133.00,0.10,2.11,28.93
Bansbari,Spring,Tap water,Treated,28.60,1.10,0.17,6.80,208.00,192.00,0.10,0.17,16.98
Bansbari,Spring,Tap water,Treated,29.70,2.20,1.11,7.80,208.00,322.00,0.10,2.78,29.32
Bansbari,Spring,Tap water,Treated,28.60,2.90,2.12,8.70,133.00,192.00,0.30,1.41,38.42
Bansbari,Spring,Tap water,Treated,27.50,1.10,1.11,6.80,222.00,243.00,0.40,3.01,28.68
Bansbari,Spring,Tap water,Treated,28.40,1.10,3.21,7.90,217.00,304.00,0.10,0.54,76.16
Bansbari,Spring,Tap water,Treated,29.20,1.90,1.76,7.60,19.00,213.00,0.40,0.65,38.79
Bansbari,Spring,Tap water,Treated,27.30,4.20,1.32,7.70,196.00,29.00,0.20,0.28,97.94
Bansbari,Spring,Tap water,Treated,26.30,2.30,3.22,7.80,207.00,78.00,0.30,0.28,77.91
Bansbari,Spring,Tap water,Treated,26.20,1.10,2.15,7.70,103.00,98.00,0.20,0.02,68.51
Bansbari,Spring,Tap water,Treated,26.80,2.10,4.26,7.10,294.00,371.00,0.40,0.90,81.23
Bansbari,Spring,Tap water,Treated,29.10,3.10,3.22,8.10,197.00,253.00,0.30,0.34,68.62
Bansbari,Spring,Tap water,Treated,29.10,2.10,1.12,7.60,152.00,163.00,0.30,0.18,71.79
Bansbari,Spring,Tap water,Treated,28.20,1.10,2.21,7.50,184.00,199.00,0.20,0.29,66.92
Bansbari,Spring,Tap water,Treated,27.30,6.20,7.21,7.80,332.00,188.00,0.30,2.15,31.13
Bansbari,Spring,Tap water,Treated,28.50,1.40,0.78,7.50,103.00,331.00,0.20,1.81,89.67
Chhetrapati,Spring,Tap water,Treated,27.20,1.90,0.19,7.50,108.00,463.00,0.20,0.35,52.00
Chhetrapati,Spring,Tap water,Treated,29.50,1.20,0.18,6.60,201.00,223.00,0.40,0.98,40.62
Chhetrapati,Spring,Tap water,Treated,28.10,3.10,0.12,8.70,169.00,242.00,0.10,0.81,29.79
Chhetrapati,Spring,Tap water,Treated,27.10,1.50,1.12,6.50,204.00,223.00,0.10,0.84,59.13
Chhetrapati,Spring,Tap water,Treated,29.50,1.10,2.12,7.40,212.00,162.00,0.20,0.41,42.16
Chhetrapati,Spring,Tap water,Treated,28.80,2.10,0.98,7.50,121.00,199.00,0.20,0.61,71.14
Chhetrapati,Spring,Tap water,Treated,28.30,1.90,1.11,7.50,179.00,142.00,0.30,0.41,38.27
Chhetrapati,Spring,Tap water,Treated,29.40,4.20,0.27,7.80,128.00,271.00,0.30,0.56,38.73
Chhetrapati,Spring,Tap water,Treated,28.30,2.10,0.92,6.10,133.00,201.00,0.20,0.29,62.87
Chhetrapati,Spring,Tap water,Treated,29.40,3.20,1.11,7.50,178.00,271.00,0.30,0.93,97.58
Chhetrapati,Spring,Tap water,Treated,27.50,1.20,0.97,8.80,211.00,172.00,0.20,0.22,43.69
Chhetrapati,Spring,Tap water,Treated,28.40,1.50,1.11,8.60,172.00,198.00,0.20,0.31,61.04
Chhetrapati,Spring,Tap water,Treated,28.60,2.10,2.19,6.70,202.00,273.00,0.20,0.62,52.64
Chhetrapati,Spring,Tap water,Treated,27.60,1.90,2.11,6.60,202.00,78.00,0.20,2.21,58.69
Chhetrapati,Spring,Tap water,Treated,28.70,6.80,5.33,6.80,171.00,225.00,0.30,2.17,32.14
Tripureshwor,Spring,Tube-well,Un-treated,24.90,2.80,0.80,6.80,226.00,296.00,1.10,19.74,73.46
Tripureshwor,Spring,Tube-well,Un-treated,24.80,1.90,1.20,7.20,202.00,153.00,0.90,12.54,66.29
Tripureshwor,Spring,Tube-well,Un-treated,25.70,0.10,0.70,8.70,342.00,221.00,0.10,13.14,79.22
Tripureshwor,Spring,Tube-well,Un-treated,25.80,0.30,0.80,6.30,113.00,271.00,0.20,11.01,56.18
Tripureshwor,Spring,Tube-well,Un-treated,26.80,1.10,1.20,6.80,210.00,94.00,1.60,8.22,66.17
Tripureshwor,Spring,Tube-well,Un-treated,24.90,0.90,1.20,7.60,173.00,108.00,0.30,9.21,16.64
Tripureshwor,Spring,Tube-well,Un-treated,28.50,2.10,2.10,8.50,142.00,159.00,0.80,3.83,86.34
Tripureshwor,Spring,Tube-well,Un-treated,28.40,0.70,0.40,8.60,167.00,68.00,1.20,1.66,58.76
Tripureshwor,Spring,Tube-well,Un-treated,25.90,0.20,0.90,6.70,122.00,107.00,0.30,3.21,54.98
Tripureshwor,Spring,Tube-well,Un-treated,28.70,3.10,1.10,7.70,221.00,129.00,0.50,1.38,38.76
Tripureshwor,Spring,Tube-well,Un-treated,28.80,0.40,0.20,8.60,111.00,169.00,1.00,11.48,68.33
Tripureshwor,Spring,Tube-well,Un-treated,28.40,1.10,0.60,7.50,211.00,191.00,0.40,2.16,55.76
Tripureshwor,Spring,Tube-well,Un-treated,29.10,0.90,0.30,6.50,171.00,222.00,0.20,3.86,33.85
Tripureshwor,Spring,Tube-well,Un-treated,29.10,1.10,0.10,8.80,206.00,172.00,0.30,11.03,66.91
Tripureshwor,Spring,Tube-well,Un-treated,26.30,6.10,5.80,8.60,181.00,205.00,0.20,1.61,16.78
Baneshwor,Spring,Tube-well,Un-treated,26.30,3.20,0.60,6.50,180.00,338.00,0.30,33.54,76.68
Baneshwor,Spring,Tube-well,Un-treated,26.80,1.10,1.10,8.70,231.00,283.00,2.10,43.63,87.97
Baneshwor,Spring,Tube-well,Un-treated,27.90,2.10,0.90,8.50,206.00,295.00,1.00,1.09,43.93
Baneshwor,Spring,Tube-well,Un-treated,28.50,4.10,0.60,7.60,279.00,280.00,0.10,1.12,23.21
Baneshwor,Spring,Tube-well,Un-treated,27.40,1.10,0.50,7.50,171.00,220.00,0.40,4.29,62.12
Baneshwor,Spring,Tube-well,Un-treated,26.40,2.10,1.10,6.80,108.00,271.00,0.30,3.59,97.42
Baneshwor,Spring,Tube-well,Un-treated,25.80,2.70,2.10,7.50,192.00,581.00,0.30,1.11,20.11
Baneshwor,Spring,Tube-well,Un-treated,27.40,1.90,1.60,7.70,113.00,163.00,1.00,1.09,43.19
Baneshwor,Spring,Tube-well,Un-treated,26.50,3.30,2.70,7.50,129.00,387.00,1.00,11.43,89.12
Baneshwor,Spring,Tube-well,Un-treated,25.50,2.10,3.20,7.30,209.00,266.00,0.40,6.22,23.12
Baneshwor,Spring,Tube-well,Un-treated,28.10,2.10,1.20,6.80,115.00,291.00,0.30,2.09,61.18
Baneshwor,Spring,Tube-well,Un-treated,27.40,1.20,3.30,6.70,116.00,141.00,0.30,11.90,89.12
Baneshwor,Spring,Tube-well,Un-treated,28.30,3.10,1.50,7.80,128.00,173.00,0.40,3.56,63.27
Baneshwor,Spring,Tube-well,Un-treated,27.90,4.10,2.20,8.50,200.00,179.00,0.30,9.11,73.11
Baneshwor,Spring,Tube-well,Un-treated,28.50,6.50,5.60,6.50,127.00,161.00,1.20,2.98,79.11
Bansbari,Spring,Tube-well,Un-treated,27.60,4.10,0.10,7.60,123.00,274.00,1.20,3.08,69.48
Bansbari,Spring,Tube-well,Un-treated,26.50,1.20,0.30,7.90,161.00,511.00,0.40,4.97,60.52
Bansbari,Spring,Tube-well,Un-treated,23.80,2.10,1.10,7.80,219.00,189.00,1.30,2.05,63.28
Bansbari,Spring,Tube-well,Un-treated,28.60,2.40,0.20,8.60,102.00,194.00,0.60,1.91,66.97
Bansbari,Spring,Tube-well,Un-treated,28.90,1.50,0.30,8.80,136.00,84.00,0.50,15.14,244.56
Bansbari,Spring,Tube-well,Un-treated,28.50,3.50,0.40,8.20,164.00,91.00,0.30,13.17,85.32
Bansbari,Spring,Tube-well,Un-treated,29.40,1.10,1.70,8.20,183.00,114.00,0.10,14.23,92.56
Bansbari,Spring,Tube-well,Un-treated,27.50,2.10,0.80,6.60,221.00,74.00,0.30,23.60,255.10
Bansbari,Spring,Tube-well,Un-treated,26.80,0.10,0.50,6.70,267.00,172.00,0.30,4.30,46.76
Bansbari,Spring,Tube-well,Un-treated,27.50,0.20,0.50,6.60,236.00,173.00,1.30,18.12,51.23
Bansbari,Spring,Tube-well,Un-treated,28.50,0.30,0.70,7.60,122.00,126.00,2.00,10.12,19.87
Bansbari,Spring,Tube-well,Un-treated,29.10,0.50,1.10,7.30,211.00,121.00,0.20,8.10,10.19
Bansbari,Spring,Tube-well,Un-treated,25.40,1.10,2.10,6.70,111.00,187.00,0.20,11.01,44.12
Bansbari,Spring,Tube-well,Un-treated,26.60,7.10,6.10,8.50,211.00,280.00,1.00,7.11,24.12
Bansbari,Spring,Tube-well,Un-treated,27.90,0.20,1.10,8.60,189.00,232.00,0.80,18.11,20.13
Chhetrapati,Spring,Tube-well,Un-treated,28.10,2.20,0.10,7.50,201.00,128.00,1.00,15.43,53.97
Chhetrapati,Spring,Tube-well,Un-treated,25.90,3.20,0.40,6.80,221.00,211.00,0.20,14.58,71.89
Chhetrapati,Spring,Tube-well,Un-treated,29.20,4.20,1.10,8.60,104.00,210.00,0.60,12.07,78.64
Chhetrapati,Spring,Tube-well,Un-treated,28.30,1.10,2.10,7.50,244.00,370.00,0.30,21.23,82.31
Chhetrapati,Spring,Tube-well,Un-treated,27.30,2.10,0.50,7.60,194.00,253.00,0.30,25.18,33.55
Chhetrapati,Spring,Tube-well,Un-treated,26.70,2.20,1.90,8.70,81.00,162.00,1.30,29.90,42.87
Chhetrapati,Spring,Tube-well,Un-treated,29.80,1.10,2.10,7.30,222.00,121.00,0.90,27.60,70.61
Chhetrapati,Spring,Tube-well,Un-treated,29.40,4.10,0.90,7.80,289.00,170.00,2.20,20.10,70.34
Chhetrapati,Spring,Tube-well,Un-treated,26.80,1.10,0.80,7.50,140.00,121.00,0.10,31.44,54.63
Chhetrapati,Spring,Tube-well,Un-treated,29.40,2.10,1.20,6.50,113.00,91.00,1.40,26.89,78.12
Chhetrapati,Spring,Tube-well,Un-treated,26.40,2.10,2.10,6.90,215.00,61.00,0.20,21.12,67.67
Chhetrapati,Spring,Tube-well,Un-treated,27.30,3.30,0.60,6.50,114.00,131.00,0.10,0.19,63.89
Chhetrapati,Spring,Tube-well,Un-treated,26.50,7.10,6.50,5.80,125.00,111.00,0.20,0.39,64.38
Chhetrapati,Spring,Tube-well,Un-treated,26.60,1.10,0.80,8.70,121.00,182.00,0.40,0.91,67.90
Chhetrapati,Spring,Tube-well,Un-treated,25.50,2.10,1.10,6.50,210.00,126.00,0.20,20.47,50.89
Tripureshwor,Spring,Dug well,Un-treated,25.50,3.20,2.10,8.60,163.00,318.00,0.60,10.32,63.92
Tripureshwor,Spring,Dug well,Un-treated,29.10,1.20,0.40,7.60,147.00,410.00,1.00,3.04,51.93
Tripureshwor,Spring,Dug well,Un-treated,29.40,2.10,0.90,6.60,127.00,502.00,2.00,11.04,76.91
Tripureshwor,Spring,Dug well,Un-treated,28.50,1.10,1.80,8.70,222.00,592.00,0.60,117.80,61.41
Tripureshwor,Spring,Dug well,Un-treated,29.70,2.10,0.60,8.40,86.00,301.00,0.20,23.12,76.12
Tripureshwor,Spring,Dug well,Un-treated,28.30,2.10,0.40,8.60,818.00,285.00,1.30,13.01,88.70
Tripureshwor,Spring,Dug well,Un-treated,27.50,4.10,3.20,8.60,293.00,310.00,2.00,12.98,34.73
Tripureshwor,Spring,Dug well,Un-treated,28.50,2.40,4.30,6.70,172.00,288.00,0.20,123.53,33.91
Tripureshwor,Spring,Dug well,Un-treated,29.50,2.20,2.20,8.50,166.00,194.00,1.00,11.20,55.94
Tripureshwor,Spring,Dug well,Un-treated,28.50,1.20,3.40,8.60,209.00,179.00,0.20,188.05,45.66
Tripureshwor,Spring,Dug well,Un-treated,26.40,3.10,2.30,6.60,119.00,138.00,2.00,0.22,64.21
Tripureshwor,Spring,Dug well,Un-treated,25.80,2.50,4.30,7.70,1181.00,166.00,0.30,11.80,55.32
Tripureshwor,Spring,Dug well,Un-treated,28.40,1.20,1.20,5.80,198.00,131.00,2.10,2.12,77.33
Tripureshwor,Spring,Dug well,Un-treated,27.40,6.70,7.10,6.60,293.00,154.00,0.00,2.13,133.98
Tripureshwor,Spring,Dug well,Un-treated,28.20,6.90,7.80,8.30,280.00,513.00,3.00,1.15,251.90
Baneshwor,Spring,Dug well,Un-treated,27.60,3.20,2.30,7.30,201.00,521.00,0.40,12.32,81.61
Baneshwor,Spring,Dug well,Un-treated,27.50,2.70,1.20,8.60,157.00,179.00,0.10,96.31,71.20
Baneshwor,Spring,Dug well,Un-treated,26.90,2.80,2.10,6.20,183.00,179.00,1.30,7.12,146.44
Baneshwor,Spring,Dug well,Un-treated,25.70,1.30,1.20,7.60,1095.00,199.00,2.30,13.13,50.42
Baneshwor,Spring,Dug well,Un-treated,26.50,4.30,3.10,7.30,187.00,178.00,1.00,0.18,59.12
Baneshwor,Spring,Dug well,Un-treated,27.60,2.30,1.20,7.40,162.00,196.00,1.30,11.16,56.73
Baneshwor,Spring,Dug well,Un-treated,27.50,5.70,6.50,8.60,175.00,175.00,0.50,19.19,78.33
Baneshwor,Spring,Dug well,Un-treated,26.80,2.90,1.90,8.70,261.00,597.00,0.20,7.81,73.44
Baneshwor,Spring,Dug well,Un-treated,28.90,1.90,2.10,8.60,238.00,186.00,0.40,17.19,89.11
Baneshwor,Spring,Dug well,Un-treated,28.60,7.20,6.30,8.50,179.00,284.00,0.30,12.16,65.23
Baneshwor,Spring,Dug well,Un-treated,29.70,1.30,1.20,8.40,136.00,179.00,1.00,17.75,69.36
Baneshwor,Spring,Dug well,Un-treated,28.60,3.30,2.20,6.30,198.00,197.00,1.00,11.38,66.81
Baneshwor,Spring,Dug well,Un-treated,26.50,2.90,2.20,8.10,201.00,183.00,0.20,112.51,79.33
Baneshwor,Spring,Dug well,Un-treated,26.50,7.30,6.10,7.60,208.00,152.00,0.40,172.33,67.11
Baneshwor,Spring,Dug well,Un-treated,27.90,1.90,1.20,7.70,241.00,169.00,2.00,149.77,260.12
Bansbari,Spring,Dug well,Un-treated,26.60,2.30,1.11,7.70,204.00,208.00,0.70,56.65,86.62
Bansbari,Spring,Dug well,Un-treated,27.60,1.20,2.12,6.60,240.00,347.00,1.00,49.07,67.98
Bansbari,Spring,Dug well,Un-treated,25.50,4.20,3.21,8.70,251.00,121.00,3.20,42.98,75.53
Bansbari,Spring,Dug well,Un-treated,27.50,1.30,2.21,8.60,119.00,266.00,0.10,36.36,65.68
Bansbari,Spring,Dug well,Un-treated,28.50,2.20,1.02,7.80,134.00,571.00,3.10,11.08,67.18
Bansbari,Spring,Dug well,Un-treated,25.90,4.10,2.21,8.60,169.00,312.00,0.10,11.13,23.58
Bansbari,Spring,Dug well,Un-treated,28.90,1.10,1.09,6.60,240.00,268.00,0.30,0.04,56.64
Bansbari,Spring,Dug well,Un-treated,27.60,2.20,2.08,7.20,108.00,492.00,0.30,7.06,64.44
Bansbari,Spring,Dug well,Un-treated,27.40,2.80,1.20,7.80,291.00,251.00,0.20,4.33,50.83
Bansbari,Spring,Dug well,Un-treated,25.40,3.10,2.20,7.80,201.00,238.00,0.20,9.04,75.71
Bansbari,Spring,Dug well,Un-treated,29.70,7.40,6.70,7.40,121.00,159.00,0.30,11.42,66.95
Bansbari,Spring,Dug well,Un-treated,27.50,2.20,1.20,8.60,149.00,218.00,0.10,13.32,66.65
Bansbari,Spring,Dug well,Un-treated,29.30,1.20,1.10,7.80,231.00,251.00,2.00,0.84,77.66
Bansbari,Spring,Dug well,Un-treated,28.50,5.50,6.10,8.60,211.00,341.00,3.20,2.01,67.82
Bansbari,Spring,Dug well,Un-treated,25.90,1.40,1.20,6.60,114.00,591.00,1.00,0.01,65.16
Chhetrapati,Spring,Dug well,Un-treated,25.90,2.90,1.09,7.00,283.00,278.00,1.00,8.64,76.69
Chhetrapati,Spring,Dug well,Un-treated,25.90,1.30,2.11,8.80,191.00,585.00,0.30,21.93,54.68
Chhetrapati,Spring,Dug well,Un-treated,29.50,2.20,2.04,7.10,169.00,361.00,1.10,13.11,61.67
Chhetrapati,Spring,Dug well,Un-treated,28.50,3.10,1.23,6.40,72.00,595.00,1.10,19.42,76.98
Chhetrapati,Spring,Dug well,Un-treated,25.40,2.60,2.23,8.70,91.00,342.00,0.10,42.58,80.12
Chhetrapati,Spring,Dug well,Un-treated,27.80,2.90,3.12,6.20,213.00,232.00,0.30,76.35,91.98
Chhetrapati,Spring,Dug well,Un-treated,29.40,3.80,2.12,6.20,1163.00,211.00,0.40,112.35,77.94
Chhetrapati,Spring,Dug well,Un-treated,29.70,1.20,2.11,6.30,563.00,162.00,0.30,26.12,88.14
Chhetrapati,Spring,Dug well,Un-treated,28.50,3.20,3.14,7.50,163.00,591.00,2.00,75.53,79.90
Chhetrapati,Spring,Dug well,Un-treated,25.70,2.10,2.21,6.40,163.00,176.00,0.30,116.16,75.90
Chhetrapati,Spring,Dug well,Un-treated,26.50,3.20,2.08,5.90,149.00,393.00,2.30,56.31,86.54
Chhetrapati,Spring,Dug well,Un-treated,26.70,4.20,3.20,6.60,163.00,261.00,1.20,11.15,48.98
Chhetrapati,Spring,Dug well,Un-treated,25.90,5.70,6.15,7.60,199.00,180.00,1.10,2.87,74.10
